"TomCherry", 541.43, 236
"Tomate", 777.74, 828
"Palta", 460.95, 535
"Repollo", 7.97, 665
"Cereza", 956.17, 168
"Berenjena", 54.12, 678
"Cebolla", 55.57, 912
"Lima", 1351.22, 198
"Lechuga", 38.89, 765
"Ajo", 914.58, 102
"Morron", 2861.88, 564
"Champignon", 3600.60, 119
"Higo", 2467.46, 89
"Esparrago", 600.13, 228
"Papa", 9.13, 1030
"Caqui", 830.59, 110
"Ciruela", 984.12, 846
"Champignon", 3616.16, 89
"Banana", 61.12, 1020
"Mandarina", 19.46, 1160
"Cebolla", 57.98, 704
"Limon", 327.46, 560
"Repollo", 8.46, 651
"Apio", 65.62, 291
"Papa", 17.03, 1180
"Durazno", 285.35, 768
"Durazno", 153.62, 816
"Durazno", 151.01, 840
"Naranja", 13.08, 920
"Kinoto", 34.31, 186
"Lima", 1175.71, 228
"Mandarina", 22.39, 1010
"Banana", 74.10, 1180
"Pepino", 36.66, 495
"Repollo", 6.42, 672
"Choclo", 70.55, 285
"Palta", 484.78, 415
"Champignon", 3596.77, 81
"Tomate", 745.09, 1053
"Higo", 2564.11, 83
"Banana", 56.25, 1070
"Lima", 1230.70, 226
"Choclo", 52.31, 300
"Lechuga", 34.02, 1044
"Pepino", 37.09, 490
"Esparrago", 626.00, 184
"Palta", 1124.52, 332
"Limon", 329.10, 616
"Kinoto", 40.62, 216
"Cereza", 982.46, 176
"Mandarina", 18.15, 920
"Palta", 1111.99, 456
"Limon", 319.51, 637
"Lima", 1402.45, 198
"Uva", 695.34, 336
"Melon", 113.61, 452
"Rabanito", 252.66, 330
"Ajo", 887.17, 89
"Rabanito", 229.10, 246
"Cebolla", 59.99, 936
"Lechuga", 43.52, 846
"Champignon", 3552.02, 111
"Mandarina", 21.19, 1090
"Ajo", 889.35, 118
"Kinoto", 48.11, 164
"Limon", 332.29, 735
"Limon", 321.26, 707
"Lima", 994.65, 182
"Morron", 2852.89, 642
"Rabanito", 212.62, 294
"Zanahoria", 25.30, 558
"Kinoto", 34.68, 184
"Mandarina", 21.76, 1140
